Performance Curve for V=5.00 created with QBlade CMD interface on 20.03.2018 at 22:45:57
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		6.366		0.002		0.370		0.018		0.000		10.210		0.363
0.200		12.732		0.004		0.374		0.019		0.001		10.297		0.383
0.300		19.099		0.006		0.380		0.020		0.001		10.473		0.410
0.400		25.465		0.009		0.390		0.021		0.001		10.745		0.443
0.500		31.831		0.012		0.403		0.024		0.002		11.120		0.498
0.600		38.197		0.016		0.421		0.027		0.002		11.607		0.555
0.700		44.563		0.020		0.442		0.029		0.003		12.179		0.599
0.800		50.930		0.024		0.464		0.030		0.003		12.787		0.630
0.900		57.296		0.028		0.487		0.031		0.004		13.416		0.651
1.000		63.662		0.033		0.510		0.033		0.004		14.067		0.674
1.100		70.028		0.040		0.537		0.036		0.005		14.795		0.743
1.200		76.394		0.050		0.568		0.042		0.007		15.654		0.860
1.300		82.761		0.062		0.602		0.047		0.008		16.587		0.978
1.400		89.127		0.077		0.639		0.055		0.011		17.613		1.136
1.500		95.493		0.095		0.678		0.063		0.013		18.678		1.304
1.600		101.859		0.121		0.723		0.075		0.017		19.929		1.557
1.700		108.225		0.154		0.775		0.091		0.021		21.364		1.873
1.800		114.592		0.191		0.832		0.106		0.026		22.926		2.189
1.900		120.958		0.226		0.893		0.119		0.031		24.624		2.458
2.000		127.324		0.260		0.964		0.130		0.036		26.557		2.690
2.100		133.690		0.293		1.035		0.140		0.040		28.528		2.886
2.200		140.056		0.352		1.126		0.160		0.049		31.031		3.307
2.300		146.423		0.370		1.187		0.161		0.051		32.714		3.328
2.400		152.789		0.349		1.216		0.145		0.048		33.513		3.002
2.500		159.155		0.323		1.243		0.129		0.045		34.262		2.673
2.600		165.521		0.294		1.261		0.113		0.040		34.764		2.336
2.700		171.887		0.273		1.302		0.101		0.038		35.877		2.089
