Performance Curve for V=4.00 created with QBlade CMD interface on 20.03.2018 at 16:10:04
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		5.093		0.002		0.370		0.021		0.000		6.519		0.272
0.200		10.186		0.004		0.373		0.020		0.000		6.579		0.267
0.300		15.279		0.006		0.379		0.021		0.000		6.691		0.279
0.400		20.372		0.009		0.390		0.022		0.001		6.871		0.296
0.500		25.465		0.012		0.403		0.024		0.001		7.117		0.320
0.600		30.558		0.016		0.421		0.026		0.001		7.428		0.347
0.700		35.651		0.019		0.442		0.028		0.001		7.791		0.366
0.800		40.744		0.023		0.464		0.029		0.002		8.179		0.383
0.900		45.837		0.028		0.487		0.031		0.002		8.591		0.404
1.000		50.930		0.032		0.512		0.032		0.002		9.023		0.428
1.100		56.023		0.039		0.538		0.035		0.003		9.495		0.469
1.200		61.115		0.049		0.569		0.041		0.003		10.040		0.537
1.300		66.208		0.061		0.603		0.047		0.004		10.640		0.619
1.400		71.301		0.075		0.640		0.054		0.005		11.287		0.712
1.500		76.394		0.093		0.679		0.062		0.007		11.976		0.821
1.600		81.487		0.116		0.723		0.072		0.008		12.746		0.958
1.700		86.580		0.144		0.770		0.085		0.010		13.586		1.119
1.800		91.673		0.177		0.825		0.098		0.012		14.548		1.302
1.900		96.766		0.216		0.889		0.114		0.015		15.684		1.505
2.000		101.859		0.248		0.958		0.124		0.017		16.893		1.638
2.100		106.952		0.269		1.027		0.128		0.019		18.118		1.695
2.200		112.045		0.313		1.104		0.142		0.022		19.467		1.881
2.300		117.138		0.364		1.192		0.158		0.026		21.022		2.092
2.400		122.231		0.353		1.231		0.147		0.025		21.721		1.945
2.500		127.324		0.333		1.266		0.133		0.023		22.328		1.760
2.600		132.417		0.310		1.298		0.119		0.022		22.901		1.575
2.700		137.510		0.278		1.325		0.103		0.020		23.373		1.364
