Performance Curve for V=11.00 created with QBlade CMD interface on 22.03.2018 at 09:59:39
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		14.006		0.002		0.371		0.021		0.003		49.442		2.109
0.200		28.011		0.004		0.374		0.022		0.007		49.878		2.221
0.300		42.017		0.007		0.381		0.023		0.010		50.777		2.337
0.400		56.023		0.010		0.391		0.025		0.015		52.155		2.474
0.500		70.028		0.013		0.405		0.026		0.019		54.016		2.625
0.600		84.034		0.016		0.423		0.027		0.024		56.366		2.737
0.700		98.039		0.020		0.443		0.028		0.029		59.053		2.806
0.800		112.045		0.023		0.464		0.029		0.034		61.888		2.906
0.900		126.051		0.028		0.486		0.031		0.041		64.799		3.109
1.000		140.056		0.036		0.509		0.036		0.052		67.901		3.556
1.100		154.062		0.045		0.535		0.041		0.066		71.399		4.083
1.200		168.068		0.058		0.568		0.048		0.085		75.800		4.828
1.300		182.073		0.076		0.606		0.058		0.111		80.822		5.812
1.400		196.079		0.091		0.641		0.065		0.134		85.499		6.528
1.500		210.085		0.120		0.681		0.080		0.176		90.890		7.988
1.600		224.090		0.153		0.731		0.096		0.225		97.515		9.580
1.700		238.096		0.190		0.781		0.112		0.278		104.169		11.166
1.800		252.101		0.223		0.834		0.124		0.327		111.277		12.390
1.900		266.107		0.260		0.895		0.137		0.381		119.433		13.667
2.000		280.113		0.307		0.976		0.154		0.451		130.208		15.372
2.100		294.118		0.374		1.075		0.178		0.548		143.386		17.807
2.200		308.124		0.365		1.105		0.166		0.536		147.388		16.600
2.300		322.130		0.352		1.130		0.153		0.517		150.789		15.325
2.400		336.135		0.333		1.144		0.139		0.488		152.617		13.878
2.500		350.141		0.319		1.167		0.127		0.468		155.623		12.751
2.600		364.147		0.292		1.165		0.112		0.429		155.461		11.252
2.700		378.152		0.271		1.178		0.101		0.398		157.149		10.058
