Performance Curve for V=7.00 created with QBlade CMD interface on 21.03.2018 at 10:50:26
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		8.913		0.002		0.370		0.022		0.001		20.006		0.886
0.200		17.825		0.004		0.374		0.022		0.002		20.190		0.903
0.300		26.738		0.007		0.380		0.023		0.003		20.549		0.919
0.400		35.651		0.009		0.390		0.023		0.003		21.079		0.936
0.500		44.563		0.012		0.403		0.024		0.005		21.784		0.973
0.600		53.476		0.015		0.420		0.025		0.006		22.703		1.004
0.700		62.389		0.018		0.440		0.025		0.007		23.786		1.032
0.800		71.301		0.022		0.462		0.027		0.008		24.982		1.096
0.900		80.214		0.026		0.485		0.029		0.010		26.196		1.164
1.000		89.127		0.032		0.509		0.032		0.012		27.477		1.295
1.100		98.039		0.042		0.536		0.038		0.016		28.980		1.539
1.200		106.952		0.053		0.568		0.044		0.020		30.669		1.778
1.300		115.865		0.067		0.604		0.052		0.025		32.617		2.099
1.400		124.777		0.082		0.640		0.059		0.031		34.551		2.386
1.500		133.690		0.104		0.679		0.070		0.040		36.677		2.822
1.600		142.603		0.136		0.728		0.085		0.052		39.320		3.453
1.700		151.516		0.168		0.778		0.099		0.064		42.024		4.015
1.800		160.428		0.204		0.832		0.113		0.077		44.965		4.583
1.900		169.341		0.241		0.896		0.127		0.091		48.379		5.143
2.000		178.254		0.281		0.968		0.141		0.106		52.312		5.696
2.100		187.166		0.331		1.054		0.158		0.125		56.914		6.395
2.200		196.079		0.378		1.133		0.172		0.143		61.226		6.953
2.300		204.992		0.358		1.160		0.156		0.135		62.667		6.312
2.400		213.904		0.338		1.187		0.141		0.128		64.106		5.700
2.500		222.817		0.315		1.207		0.126		0.119		65.204		5.105
2.600		231.730		0.295		1.233		0.113		0.112		66.619		4.595
2.700		240.642		0.266		1.248		0.099		0.101		67.432		3.997
