Performance Curve for V=12.00 created with QBlade CMD interface on 22.03.2018 at 16:38:49
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		15.279		0.002		0.371		0.022		0.004		58.851		2.560
0.200		30.558		0.005		0.374		0.023		0.009		59.388		2.687
0.300		45.837		0.007		0.381		0.023		0.013		60.451		2.769
0.400		61.115		0.010		0.391		0.025		0.019		62.110		3.004
0.500		76.394		0.013		0.405		0.027		0.025		64.305		3.159
0.600		91.673		0.016		0.423		0.027		0.031		67.112		3.258
0.700		106.952		0.020		0.444		0.029		0.038		70.421		3.432
0.800		122.231		0.024		0.465		0.030		0.045		73.768		3.539
0.900		137.510		0.029		0.486		0.032		0.055		77.214		3.798
1.000		152.789		0.037		0.509		0.037		0.070		80.876		4.372
1.100		168.068		0.046		0.536		0.042		0.088		85.078		5.026
1.200		183.346		0.060		0.569		0.050		0.114		90.315		5.950
1.300		198.625		0.077		0.607		0.060		0.148		96.299		7.098
1.400		213.904		0.094		0.641		0.067		0.179		101.843		7.998
1.500		229.183		0.126		0.684		0.084		0.240		108.547		9.989
1.600		244.462		0.160		0.733		0.100		0.305		116.437		11.924
1.700		259.741		0.194		0.783		0.114		0.370		124.260		13.588
1.800		275.020		0.229		0.837		0.127		0.437		132.881		15.181
1.900		290.299		0.263		0.895		0.138		0.500		142.059		16.454
2.000		305.577		0.314		0.979		0.157		0.598		155.469		18.697
2.100		320.856		0.373		1.071		0.178		0.711		170.033		21.149
2.200		336.135		0.371		1.107		0.169		0.707		175.746		20.074
2.300		351.414		0.354		1.126		0.154		0.674		178.798		18.308
2.400		366.693		0.337		1.143		0.140		0.642		181.527		16.722
2.500		381.972		0.319		1.158		0.128		0.608		183.844		15.199
2.600		397.251		0.291		1.147		0.112		0.555		182.160		13.333
2.700		412.530		0.278		1.185		0.103		0.529		188.173		12.251
