Performance Curve for V=13.00 created with QBlade CMD interface on 22.03.2018 at 23:22:43
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		16.552		0.002		0.371		0.022		0.005		69.092		3.052
0.200		33.104		0.005		0.374		0.023		0.011		69.733		3.154
0.300		49.656		0.007		0.381		0.024		0.017		70.971		3.340
0.400		66.208		0.010		0.391		0.025		0.024		72.873		3.527
0.500		82.761		0.013		0.405		0.027		0.032		75.528		3.739
0.600		99.313		0.017		0.423		0.028		0.041		78.875		3.918
0.700		115.865		0.021		0.444		0.030		0.050		82.817		4.132
0.800		132.417		0.024		0.465		0.030		0.059		86.673		4.226
0.900		148.969		0.030		0.487		0.033		0.072		90.729		4.584
1.000		165.521		0.038		0.510		0.038		0.092		94.997		5.283
1.100		182.073		0.049		0.538		0.044		0.119		100.239		6.218
1.200		198.625		0.063		0.570		0.053		0.153		106.212		7.379
1.300		215.177		0.080		0.608		0.061		0.193		113.208		8.571
1.400		231.730		0.097		0.642		0.069		0.235		119.665		9.698
1.500		248.282		0.131		0.687		0.087		0.317		127.925		12.196
1.600		264.834		0.165		0.735		0.103		0.399		136.900		14.371
1.700		281.386		0.198		0.784		0.116		0.479		146.022		16.260
1.800		297.938		0.235		0.839		0.130		0.569		156.335		18.225
1.900		314.490		0.269		0.899		0.142		0.652		167.521		19.789
2.000		331.042		0.320		0.983		0.160		0.776		183.106		22.379
2.100		347.594		0.381		1.078		0.181		0.922		200.919		25.338
2.200		364.147		0.370		1.103		0.168		0.897		205.449		23.529
2.300		380.699		0.356		1.123		0.155		0.861		209.167		21.603
2.400		397.251		0.333		1.130		0.139		0.806		210.513		19.364
2.500		413.803		0.318		1.149		0.127		0.771		214.150		17.803
2.600		430.355		0.297		1.152		0.114		0.720		214.600		15.966
2.700		446.907		0.283		1.174		0.105		0.687		218.779		14.671
