Performance Curve for V=3.00 created with QBlade CMD interface on 20.03.2018 at 08:59:47
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		3.820		0.003		0.368		0.032		0.000		3.647		0.238
0.200		7.639		0.007		0.372		0.033		0.000		3.687		0.242
0.300		11.459		0.010		0.379		0.033		0.000		3.756		0.243
0.400		15.279		0.013		0.389		0.033		0.000		3.856		0.242
0.500		19.099		0.016		0.402		0.033		0.000		3.991		0.243
0.600		22.918		0.020		0.420		0.033		0.001		4.163		0.242
0.700		26.738		0.022		0.440		0.032		0.001		4.368		0.239
0.800		30.558		0.025		0.462		0.031		0.001		4.589		0.233
0.900		34.377		0.028		0.486		0.031		0.001		4.823		0.234
1.000		38.197		0.032		0.510		0.032		0.001		5.065		0.236
1.100		42.017		0.036		0.537		0.033		0.001		5.327		0.245
1.200		45.837		0.043		0.567		0.036		0.001		5.630		0.269
1.300		49.656		0.053		0.602		0.041		0.002		5.971		0.302
1.400		53.476		0.065		0.639		0.046		0.002		6.338		0.344
1.500		57.296		0.080		0.678		0.053		0.002		6.729		0.395
1.600		61.115		0.097		0.720		0.061		0.003		7.140		0.453
1.700		64.935		0.120		0.766		0.070		0.004		7.599		0.523
1.800		68.755		0.146		0.816		0.081		0.004		8.092		0.603
1.900		72.575		0.176		0.872		0.093		0.005		8.648		0.690
2.000		76.394		0.209		0.938		0.105		0.006		9.307		0.779
2.100		80.214		0.234		1.011		0.112		0.007		10.033		0.831
2.200		84.034		0.265		1.081		0.120		0.008		10.729		0.895
2.300		87.854		0.325		1.174		0.141		0.010		11.645		1.052
2.400		91.673		0.347		1.238		0.144		0.010		12.288		1.075
2.500		95.493		0.328		1.275		0.131		0.010		12.652		0.975
2.600		99.313		0.307		1.315		0.118		0.009		13.043		0.879
2.700		103.132		0.284		1.355		0.105		0.008		13.445		0.783
