Performance Curve for V=8.00 created with QBlade CMD interface on 21.03.2018 at 15:26:49
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		10.186		0.002		0.371		0.021		0.001		26.145		1.115
0.200		20.372		0.004		0.374		0.021		0.002		26.373		1.122
0.300		30.558		0.007		0.380		0.022		0.004		26.837		1.170
0.400		40.744		0.009		0.390		0.023		0.005		27.544		1.239
0.500		50.930		0.012		0.404		0.025		0.007		28.485		1.299
0.600		61.115		0.015		0.421		0.025		0.009		29.691		1.333
0.700		71.301		0.019		0.441		0.027		0.010		31.151		1.406
0.800		81.487		0.023		0.463		0.028		0.013		32.702		1.498
0.900		91.673		0.027		0.485		0.030		0.015		34.214		1.563
1.000		101.859		0.033		0.508		0.033		0.019		35.874		1.750
1.100		112.045		0.042		0.534		0.038		0.023		37.705		2.000
1.200		122.231		0.053		0.567		0.044		0.030		39.979		2.331
1.300		132.417		0.067		0.602		0.052		0.038		42.473		2.745
1.400		142.603		0.083		0.638		0.059		0.047		45.048		3.135
1.500		152.789		0.105		0.677		0.070		0.060		47.763		3.720
1.600		162.975		0.138		0.726		0.087		0.078		51.211		4.579
1.700		173.161		0.171		0.775		0.101		0.097		54.694		5.336
1.800		183.346		0.208		0.831		0.115		0.117		58.608		6.101
1.900		193.532		0.245		0.894		0.129		0.138		63.083		6.833
2.000		203.718		0.283		0.964		0.141		0.160		67.990		7.488
2.100		213.904		0.346		1.062		0.165		0.195		74.917		8.720
2.200		224.090		0.379		1.130		0.172		0.214		79.729		9.109
2.300		234.276		0.355		1.151		0.154		0.200		81.209		8.170
2.400		244.462		0.336		1.175		0.140		0.189		82.883		7.399
2.500		254.648		0.324		1.211		0.130		0.183		85.483		6.854
2.600		264.834		0.297		1.212		0.114		0.167		85.510		6.039
2.700		275.020		0.262		1.206		0.097		0.148		85.118		5.141
