Performance Curve for V=6.00 created with QBlade CMD interface on 21.03.2018 at 05:18:24
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		7.639		0.002		0.370		0.020		0.000		14.696		0.595
0.200		15.279		0.004		0.374		0.021		0.001		14.830		0.636
0.300		22.918		0.007		0.381		0.023		0.002		15.105		0.685
0.400		30.558		0.009		0.390		0.024		0.002		15.493		0.704
0.500		38.197		0.012		0.403		0.025		0.003		16.007		0.735
0.600		45.837		0.015		0.420		0.026		0.004		16.677		0.763
0.700		53.476		0.018		0.440		0.026		0.004		17.475		0.784
0.800		61.115		0.022		0.462		0.028		0.005		18.356		0.821
0.900		68.755		0.026		0.485		0.029		0.006		19.258		0.858
1.000		76.394		0.031		0.509		0.031		0.007		20.196		0.924
1.100		84.034		0.039		0.535		0.036		0.009		21.253		1.068
1.200		91.673		0.050		0.567		0.042		0.012		22.495		1.243
1.300		99.313		0.063		0.602		0.049		0.015		23.882		1.448
1.400		106.952		0.079		0.639		0.056		0.019		25.363		1.678
1.500		114.592		0.099		0.679		0.066		0.024		26.930		1.959
1.600		122.231		0.130		0.727		0.081		0.031		28.869		2.425
1.700		129.870		0.163		0.778		0.096		0.039		30.871		2.847
1.800		137.510		0.198		0.832		0.110		0.047		33.035		3.267
1.900		145.149		0.234		0.895		0.123		0.056		35.514		3.666
2.000		152.789		0.267		0.961		0.134		0.064		38.155		3.975
2.100		160.428		0.308		1.037		0.146		0.073		41.161		4.361
2.200		168.068		0.375		1.138		0.171		0.089		45.172		5.078
2.300		175.707		0.364		1.173		0.158		0.087		46.538		4.715
2.400		183.346		0.342		1.200		0.143		0.081		47.615		4.243
2.500		190.986		0.315		1.222		0.126		0.075		48.507		3.755
2.600		198.625		0.296		1.255		0.114		0.070		49.817		3.385
2.700		206.265		0.280		1.291		0.104		0.067		51.235		3.082
