Performance Curve for V=10.00 created with QBlade CMD interface on 22.03.2018 at 03:20:50
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		12.732		0.002		0.371		0.021		0.002		40.851		1.736
0.200		25.465		0.004		0.374		0.022		0.005		41.204		1.818
0.300		38.197		0.007		0.380		0.023		0.008		41.948		1.927
0.400		50.930		0.010		0.391		0.025		0.011		43.079		2.047
0.500		63.662		0.013		0.405		0.026		0.014		44.604		2.149
0.600		76.394		0.016		0.422		0.027		0.018		46.524		2.204
0.700		89.127		0.019		0.442		0.028		0.021		48.776		2.298
0.800		101.859		0.023		0.464		0.029		0.025		51.103		2.378
0.900		114.592		0.027		0.485		0.030		0.030		53.421		2.482
1.000		127.324		0.034		0.508		0.034		0.037		55.989		2.793
1.100		140.056		0.043		0.534		0.039		0.047		58.897		3.224
1.200		152.789		0.056		0.567		0.047		0.062		62.566		3.848
1.300		165.521		0.072		0.604		0.055		0.079		66.545		4.555
1.400		178.254		0.088		0.640		0.063		0.097		70.526		5.211
1.500		190.986		0.116		0.680		0.077		0.128		74.992		6.382
1.600		203.718		0.147		0.728		0.092		0.162		80.253		7.614
1.700		216.451		0.186		0.780		0.109		0.205		86.046		9.050
1.800		229.183		0.219		0.835		0.122		0.242		92.045		10.082
1.900		241.916		0.258		0.898		0.136		0.285		99.003		11.247
2.000		254.648		0.292		0.963		0.146		0.322		106.186		12.075
2.100		267.380		0.369		1.074		0.175		0.406		118.407		14.512
2.200		280.113		0.371		1.117		0.169		0.409		123.200		13.935
2.300		292.845		0.351		1.136		0.153		0.387		125.220		12.634
2.400		305.577		0.332		1.153		0.138		0.366		127.100		11.449
2.500		318.310		0.314		1.170		0.126		0.346		128.988		10.385
2.600		331.042		0.296		1.182		0.114		0.327		130.340		9.428
2.700		343.775		0.274		1.192		0.101		0.302		131.451		8.377
