Performance Curve for V=15.00 created with QBlade CMD interface on 23.03.2018 at 12:55:32
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		19.099		0.002		0.371		0.022		0.008		92.005		4.144
0.200		38.197		0.005		0.374		0.023		0.017		92.863		4.264
0.300		57.296		0.007		0.381		0.024		0.027		94.536		4.530
0.400		76.394		0.011		0.392		0.027		0.040		97.209		4.943
0.500		95.493		0.014		0.406		0.028		0.052		100.776		5.199
0.600		114.592		0.017		0.424		0.029		0.065		105.217		5.411
0.700		133.690		0.021		0.445		0.031		0.080		110.482		5.711
0.800		152.789		0.025		0.466		0.032		0.094		115.621		5.893
0.900		171.887		0.031		0.488		0.035		0.117		121.073		6.490
1.000		190.986		0.040		0.511		0.040		0.150		126.797		7.516
1.100		210.085		0.053		0.541		0.048		0.197		134.120		8.955
1.200		229.183		0.070		0.576		0.058		0.261		142.898		10.872
1.300		248.282		0.083		0.608		0.064		0.310		150.887		11.908
1.400		267.380		0.101		0.640		0.072		0.377		158.800		13.452
1.500		286.479		0.128		0.678		0.086		0.477		168.257		15.910
1.600		305.577		0.167		0.731		0.104		0.620		181.414		19.376
1.700		324.676		0.199		0.781		0.117		0.740		193.770		21.760
1.800		343.775		0.228		0.828		0.127		0.848		205.351		23.550
1.900		362.873		0.267		0.892		0.140		0.992		221.331		26.103
2.000		381.972		0.329		0.988		0.164		1.224		245.077		30.602
2.100		401.070		0.379		1.070		0.180		1.409		265.415		33.539
2.200		420.169		0.364		1.087		0.165		1.354		269.583		30.779
2.300		439.268		0.353		1.108		0.153		1.312		274.898		28.524
2.400		458.366		0.336		1.122		0.140		1.251		278.444		26.069
2.500		477.465		0.315		1.127		0.126		1.172		279.457		23.432
2.600		496.563		0.293		1.131		0.113		1.089		280.622		20.940
2.700		515.662		0.282		1.165		0.105		1.051		288.939		19.455
